NOME,APARICOES
"Tyrion Lannister",67
"Cersei Lannister",62
"Daenerys Targaryen",62
"Jon Snow",62
"Sansa Stark",59
"Arya Stark",59
"Jaime Lannister",55
"Jorah Mormont",52
"Samwell Tarly",48
"Theon Greyjoy",47
"Lord Varys",46
"Davos Seaworth",42
"Brienne of Tarth",42
"Petyr 'Littlefinger' Baelish",41
"Bran Stark",40
"Sandor 'The Hound' Clegane",38
Missandei,38
Bronn,37
"Podrick Payne",35
"Grey Worm",34
"Eddison Tollett",34
"Tormund Giantsbane",33
"Grand Maester Pycelle",31
Melisandre,29
"Tywin Lannister",27
Gilly,27
"Margaery Tyrell",26
"Joffrey Baratheon",26
"Catelyn Stark",26
"Barristan Selmy",25
"Stannis Baratheon",24
Gendry,24
Hodor,23
Qyburn,22
Grenn,22
"Robb Stark",22
"Loras Tyrell",21
Shae,20
"Ramsay Bolton",20
"Roose Bolton",20
"Alliser Thorne",19
"Night's Watch Officer",19
"Daario Naharis",18
"Olenna Tyrell",18
"Tommen Baratheon",18
Ygritte,17
"Jaqen H'ghar",17
"Gregor 'The Mountain' Clegane",17
Olly,17
"Meryn Trant",17
Osha,16
"Yara Greyjoy",16
"Meera Reed",16
"Wun Wun",16
"Lancel Lannister",16
"Janos Slynt",15
"Maester Luwin",14
Ros,14
"Rickon Stark",14
"Othell Yarwyck",14
"Ellaria Sand",13
"Rodrik Cassel",13
"Beric Dondarrion",13
"Mace Tyrell",13
"Yohn Royce",13
Pypar,13
Irri,13
"High Sparrow",12
"Jeor Mormont",12
"Maester Wolkan",12
"Kevan Lannister",12
Rast,12
"Hot Pie",12
"Talisa Stark",11
"Maester Aemon",11
"The Waif",11
Doreah,11
Qhono,11
"Baratheon Soldier",11
"Baratheon Soldier",11
"Eddard 'Ned' Stark",10
"Thoros of Myr",10
"Selyse Baratheon",10
"Jojen Reed",10
"Shireen Baratheon",10
"Bowen Marsh",10
"Khal Drogo",10
"Stark Soldier",10
"Night's Watch",10
"Euron Greyjoy",9
"Edmure Tully",9
"Tyene Sand",9
"Lyanna Mormont",9
"Robin Arryn",9
"Baratheon Soldier",9
"Renly Baratheon",8
Locke,8
"Obara Sand",8
"Hizdahr zo Loraq",8
"Nymeria Sand",8
"Septa Unella",8
Myranda,8
Kovarro,8
"Tommen Baratheon",8
"Myrcella Baratheon",8
Marei,8
"Robert Baratheon",7
"Oberyn Martell",7
Yoren,7
"Brynden 'Blackfish' Tully",7
Olyvar,7
Rakharo,7
Bernadette,7
"Walder Frey",6
"Benjen Stark",6
Orell,6
"Areo Hotah",6
"Septa Mordane",6
"Black Walder Rivers",6
Qotho,6
"Dontos Hollard",6
"Myrcella Baratheon",6
Anguy,6
"High Septon",6
"Alys Karstark",6
"Night's Watch Officer",6
Ironborn,6
"Brotherhood Member",6
"Knight of the Vale",6
Unsullied,6
Unsullied,6
"Viserys Targaryen",5
"Jory Cassel",5
"Lysa Arryn",5
"Mance Rayder",5
Craster,5
"Doran Martell",5
"Xaro Xhoan Daxos",5
"Randyll Tarly",5
"Robett Glover",5
"Rickard Karstark",5
"Dagmer Cleftjaw",5
"Walda Bolton",5
"Trystane Martell",5
"The Night King",5
"Northern Lord",5
"Archmaester Ebrose",4
"Tycho Nestoris",4
"Balon Greyjoy",4
