COUNT(NOME),REGIAO
69,Reach
55,Westerlands
54,Riverlands
48,North
38,Crownlands
35,"Iron Islands"
34,"Vale of Arryn"
34,Stormlands
29,Dorne
19,Unknown
8,"North (Crannogmen)"
7,"Crownlands (Crackclaw Point)"
7,"North (Mountain Clans)"
5,"Crownlands (Dragonstone)"
5,"North (Wolfswood Clans)"
5,"Stormlands (Marcher Lords)"
4,"Iron Islands (Shield Islands)"
4,"Vale of Arryn (Sistermen)"
4,"Reach (Shield Islands)"
3,"North (Skagosi Clans)"
1,"Riverlands; North (formerly)"
1,"Iron Islands (origin); Riverlands"
1,"North; Reach (formerly)"
1,"Crownlands (origin); Riverlands (deposed)"
